time,open,high,low,close,tick_volume,spread,real_volume
2024-10-08 01:30:00,63249.21,63255.99,63236.0,63236.0,21,1,0
2024-10-08 01:31:00,63236.0,63236.0,63168.0,63168.51,29,1,0
2024-10-08 01:32:00,63168.51,63189.99,63159.9,63185.48,34,1,0
2024-10-08 01:33:00,63185.48,63185.48,63092.0,63133.42,68,1,0
2024-10-08 01:34:00,63133.4,63145.09,63064.0,63064.0,71,1,0
2024-10-08 01:35:00,63069.45,63109.99,63056.62,63109.99,48,1,0
2024-10-08 01:36:00,63109.99,63109.99,63059.9,63108.42,74,1,0
2024-10-08 01:37:00,63108.42,63165.62,63108.42,63155.99,46,1,0
2024-10-08 01:38:00,63155.99,63155.99,63112.0,63113.91,17,1,0
2024-10-08 01:39:00,63113.91,63134.06,63107.03,63131.3,29,1,0
2024-10-08 01:40:00,63131.3,63131.3,63090.0,63090.0,26,1,0
2024-10-08 01:41:00,63090.0,63105.99,63090.0,63105.99,10,1,0
2024-10-08 01:42:00,63105.99,63111.93,63082.53,63082.53,22,1,0
2024-10-08 01:43:00,63082.53,63082.53,63072.45,63077.99,9,1,0
2024-10-08 01:44:00,63077.99,63081.99,63069.1,63069.1,8,1,0
2024-10-08 01:45:00,63069.1,63069.1,63048.0,63048.0,10,1,0
2024-10-08 01:46:00,63048.0,63061.99,63043.13,63043.13,19,1,0
2024-10-08 01:47:00,63043.13,63067.87,63043.13,63054.9,25,1,0
2024-10-08 01:48:00,63054.9,63069.99,63052.23,63069.99,13,1,0
2024-10-08 01:49:00,63069.99,63089.99,63069.99,63072.0,19,1,0
2024-10-08 01:50:00,63072.0,63093.99,63072.0,63093.99,17,1,0
2024-10-08 01:51:00,63093.99,63129.99,63093.99,63111.09,30,1,0
2024-10-08 01:52:00,63111.09,63111.09,63048.45,63048.45,25,1,0
2024-10-08 01:53:00,63048.45,63048.45,62960.0,62961.11,25,1,0
2024-10-08 01:54:00,62961.11,62961.11,62710.0,62777.99,109,1,0
2024-10-08 01:55:00,62775.99,62813.59,62746.29,62746.29,91,1,0
2024-10-08 01:56:00,62746.29,62746.29,62448.3,62485.24,161,1,0
2024-10-08 01:57:00,62483.79,62639.99,62483.79,62621.0,129,1,0
2024-10-08 01:58:00,62621.0,62654.01,62552.22,62595.99,104,1,0
2024-10-08 01:59:00,62595.99,62627.99,62449.93,62471.07,113,1,0
2024-10-08 02:00:00,62471.07,62471.07,62128.0,62169.11,213,1,0
2024-10-08 02:01:00,62169.11,62313.99,62154.0,62309.99,171,1,0
2024-10-08 02:02:00,62309.99,62331.98,62230.0,62247.22,136,1,0
2024-10-08 02:03:00,62247.22,62299.99,62163.09,62163.09,140,1,0
2024-10-08 02:04:00,62163.09,62235.99,62156.04,62195.9,142,1,0
2024-10-08 02:05:00,62195.9,62287.45,62195.9,62227.99,136,1,0
2024-10-08 02:06:00,62227.99,62385.99,62210.0,62380.0,154,1,0
2024-10-08 02:07:00,62380.0,62417.46,62352.0,62400.24,153,1,0
2024-10-08 02:08:00,62370.01,62613.63,62359.9,62577.03,156,1,0
2024-10-08 02:09:00,62577.03,62577.03,62500.0,62532.01,137,1,0
2024-10-08 02:10:00,62532.01,62563.99,62520.0,62520.0,66,1,0
2024-10-08 02:11:00,62520.0,62563.61,62502.12,62540.0,94,1,0
2024-10-08 02:12:00,62540.0,62621.99,62516.0,62621.99,65,1,0
